algorithm,num_episodes,num_labels,num_neighbors,random_seed_index,target_color,trial,changes,random_seed,target_label,target_label_episode,target_label_index,color_sequence_type,_hostname,_pwd,_username,_start_time,_end_time,algorithm,changes,color_sequence_type,num_episodes,num_labels,num_neighbors,random_seed,random_seed_index,target_color,target_label,target_label_episode,target_label_index,trial
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.034947,2017-07-21 21:48:37.034960,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.038877,2017-07-21 21:48:37.038906,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.041449,2017-07-21 21:48:37.041460,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.043354,2017-07-21 21:48:37.043367,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.045135,2017-07-21 21:48:37.045149,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.046803,2017-07-21 21:48:37.046816,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.049014,2017-07-21 21:48:37.049025,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.051570,2017-07-21 21:48:37.051582,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.053312,2017-07-21 21:48:37.053325,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.055152,2017-07-21 21:48:37.055165,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.057175,2017-07-21 21:48:37.057188,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.059376,2017-07-21 21:48:37.059388,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.061792,2017-07-21 21:48:37.061803,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.063680,2017-07-21 21:48:37.063696,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.065331,2017-07-21 21:48:37.065344,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.091669,2017-07-21 21:48:37.091682,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.094210,2017-07-21 21:48:37.094239,,,,,,,,,,,,,
,,,,,,,,,,,,,n006.cluster.com,/net/clusterhn.cluster.com/home/justinnhli/git/rdfwrap,justinnhli,2017-07-21 21:48:37.101269,2017-07-21 21:48:37.101281,,,,,,,,,,,,,
